epoch,train_loss,val_loss,val_roc_auc_score
1,0.5599292207020836,0.49940258264541626,0.84384719082041
2,0.48696040071969865,0.38005924224853516,0.85523676081903
3,0.4622692911942178,0.430683970451355,0.8544831173242472
4,0.44598600457909054,0.4380391836166382,0.8599443789871455
5,0.43158614699621256,0.46710795164108276,0.860183209672112
6,0.41909436213760226,0.48703813552856445,0.8630438705431541
7,0.4022151426268184,0.5342138409614563,0.8607564033160315
8,0.39160357650420435,0.4359121322631836,0.8610323854408813
9,0.37804596191691325,0.4111764430999756,0.8626458194015434
10,0.3554594754414549,0.4137665331363678,0.8574976913033788
11,0.34298431185856026,0.3952331244945526,0.8616745746160134
12,0.32388984324472525,0.4053913652896881,0.8580018894160855
