epoch,train_loss,val_loss,val_roc_auc_score
1,0.5608064053314072,0.5212002992630005,0.8277948886988946
2,0.48509542052707977,0.4669335186481476,0.8395739552323366
3,0.4599455320054576,0.40472611784935,0.8429268945910033
4,0.44331519518579754,0.41287606954574585,0.8382451405556299
5,0.4297817660170415,0.5090832710266113,0.840398026349674
6,0.4152767772061957,0.500447154045105,0.8375755827727933
7,0.39951337604886955,0.4573267102241516,0.839465795898186
8,0.3827343795093752,0.5883045196533203,0.8391876718960847
9,0.36981331925129607,0.501388669013977,0.8366072992099217
10,0.34813554942726144,0.5033616423606873,0.8294842344894364
11,0.3311803565759744,0.5219095349311829,0.8298396151587883
12,0.3066613696707738,0.46775221824645996,0.8287683227062496
13,0.2871512505299752,0.5713782906532288,0.8223663202134344
