epoch,train_loss,val_loss,val_roc_auc_score
1,1.374368439039846,0.4428355097770691,0.8496467544528841
2,1.30166194265283,0.45208999514579773,0.8475129081119329
3,1.239643522134916,0.42362910509109497,0.8480878304421373
4,1.2313288314135995,0.42204466462135315,0.8480767742434797
5,1.2117941501572376,0.438423216342926,0.8586465001603149
6,1.216010230263387,0.49571919441223145,0.8448262518380929
7,1.197538319300479,0.41213688254356384,0.8514102181387994
8,1.1777715234775243,0.4120400547981262,0.8547989430274084
9,1.1645837076536314,0.4435323476791382,0.853223434718675
10,1.1556435269633616,0.4348304271697998,0.851089588377724
11,1.1654983432743493,0.40416669845581055,0.8503156544716796
12,1.1839051945941654,0.43617483973503113,0.8550642917951952
13,1.180555077049676,0.41841670870780945,0.8528419958649817
14,1.1354072490545708,0.4288484752178192,0.8511890941656439
15,1.128999081652934,0.4301619827747345,0.8407962674273332
