epoch,train_loss,val_loss,val_roc_auc_score
1,0.8112429967002263,0.7259289622306824,0.7264135394884579
2,0.6083512457590254,0.6314206719398499,0.7937916542197591
3,0.5568098373829372,0.57488614320755,0.8303649604960908
4,0.5400037883766113,0.537240743637085,0.8300456329381225
5,0.5386841145772783,0.6106801629066467,0.8282481278134303
6,0.6524262078224666,0.8735042214393616,0.7849277392638984
7,0.5783859183863987,0.6512438654899597,0.8326672091801522
8,0.5682569477293227,0.6134235858917236,0.825551870126392
9,0.5095628939923786,0.6862523555755615,0.8183000442938225
10,0.5092636526577057,0.5278167724609375,0.8294198539333943
11,0.5952799973033723,0.5215502381324768,0.8374622729941593
12,0.5276825551002745,0.5618150234222412,0.8373747154379423
13,0.4913749519794706,0.4663831293582916,0.8433749832610555
14,0.5043931868341234,0.6348156929016113,0.8517856591023805
15,0.4808070669098506,0.5046751499176025,0.8475828964039597
16,0.46659980501447407,0.49223119020462036,0.8490919766375838
17,0.4628529818285079,0.4426290988922119,0.8464343472841707
18,0.4596327382420737,0.47469234466552734,0.8537428280060569
19,0.6464866555872417,0.8781341314315796,0.8498027379762874
20,3.117159589415505,1.306588888168335,0.592728602478394
21,0.8926155070463816,0.5645855069160461,0.7911185735328959
22,0.5622681767221481,0.4887714684009552,0.8012649491651129
23,0.5468344300512283,0.5896068215370178,0.8135899628137908
24,0.5259350230769505,0.5489249229431152,0.8263579146880374
25,0.5148049607163384,0.599112868309021,0.82886103070695
26,0.5127042139333392,0.45211830735206604,0.8368493701006396
27,0.5002981523672739,0.5508438348770142,0.8381704591106213
28,0.4861269550664084,0.47318845987319946,0.8510645968747103
