epoch,train_loss,val_loss,val_roc_auc_score
1,0.5775527083484774,0.6842874884605408,0.8252290081105738
2,0.5501051166464866,0.6532046794891357,0.8466176783014034
3,0.5426853971552253,0.43436577916145325,0.8390007373248853
4,0.5507032695063703,0.37308454513549805,0.8471987902873067
5,0.5496888752175841,0.4874255359172821,0.8440432897186918
6,0.5422398758312105,0.6673340797424316,0.8333895699771303
7,0.5462196024274185,0.4583946466445923,0.8129444256988966
8,0.5453812078842732,0.8264918923377991,0.8370262062760095
9,0.5455121249246506,0.5458357334136963,0.8306027318511854
10,0.5427502905967826,0.5300012230873108,0.8512790712205851
11,0.5330373625380064,0.7456945776939392,0.8538347142553644
12,0.5304635615872788,0.38730746507644653,0.8338394631275072
13,0.5316692057303413,0.5067172646522522,0.8369574726002575
14,0.525659490140752,0.43694940209388733,0.8520663842337445
15,0.5185836566158082,0.6144784688949585,0.852909933890701
16,0.5357275666980048,0.3650061786174774,0.8219735312863193
17,0.5273138344745489,0.5923903584480286,0.8261662855071921
18,0.5278599691253706,0.4551200270652771,0.8321211212337071
19,0.5251477453392893,0.716308057308197,0.8469988377760282
20,0.540206630948409,0.4020586311817169,0.8399130206575939
21,0.5133640746409056,0.44894176721572876,0.8431247578700058
